实验ID,代币符号,代币地址,叙事评级,总分,内容质量(35),可信度(30),传播力(20),完整性(15),Twitter文本,Intro英文,Intro中文
70fea05f,大狗大狗,0x85efc36ddb171261b674d0f979c8066459d34444,高,60,35,10,0,15,"抖音爆火的一个大狗叫😂 大家都说听着像“doge doge”叫叫叫  听完你们就知道了 感觉会像下一个“我的刀盾”一样 成为人人的口头禅   目前抖音已经有上千万话题热度🔥  非常顶级🔥🔥🔥","打狗",""
70fea05f,天使—COCO,0xa1795a0f4e65f4842ca9329dc1b62b69f0d04444,高,60,35,10,0,15,"小安助手接入到币安广场 看前面币安Openclaw聊群的群主 天使 COCO在广场发了贴 小安助手之前只是分析代币吧 现在直接进化成龙虾能发帖？  埋伏了3个小安外盘的标 0x44448367f79b","首个币安厂场小安助手接入的成员",""
70fea05f,傻币,0xba76fdd6bed23057c7c11ebb34dd247b33b34444,高,60,35,10,0,15,"Hello?! The News are calling memecoins SILLY coins on a recent interview with BBC World Service  He'","어리석은 동전",""
70fea05f,BONKRot,0x44443664201f5de5be8c245bc5a4e0bd1c15b64d,中,55,30,10,0,15,"什么情况，除了moondoge之外，这里的其他代币全部都叫“bonkrot”?  $bonk刚好有自己的狗 rot是“腐烂，有点智障的意思”  bonkrot感觉就是智障的$bonk狗，有点嘲讽sol","BONKRot",""
70fea05f,小萝卜,0x442861972106d123d685cd30d58bbb9be9404444,中,55,30,10,0,15,"这才是爆火的真神  小萝卜 3.3亿的话题播放量  真神meme  下一个恶俗企鹅 https://t.co/CgBAjhyNA3","下一个恶俗企鹅",""
70fea05f,Clawford,0xdd8cfbe605febc8e5fc731e8d2d71620712dffff,中,53,35,5,0,13,"Clawford University 是 OpenClaw 生态的 AI Agent 学习平台。 Agent 不该只是执行命令的工具，它们应该像人一样学习、成长、拿到可验证的能力证明。 🎓 35+","基于 OpenClaw 生态，为 AI Agent提供系统化的学习平台。35+技能包覆盖搜索、写代码、链上分析、DEX 交易等领域。完整课程体系：选课、考试、GPA、学位。Campus 社交网络让Ag",""
70fea05f,frogs,0xc3b1a6229d9017376cf9a5ba7a60782bd8db4444,中,52,35,5,0,12,"When I was a kid, my life goal was to make money.  I caught frogs in my backyard and sold them to cl","青蛙",""
70fea05f,宝可梦,0xea1605d3c2c48aea17b45c485e45bc74a2e74444,中,52,35,5,0,12,"When I was a kid, my life goal was to make money.  I caught frogs in my backyard and sold them to cl","文章先提到宝可梦",""
70fea05f,青蛙,0xb707fbba262be7282175e10b3b2ba261a90a4444,中,52,35,5,0,12,"When I was a kid, my life goal was to make money.  I caught frogs in my backyard and sold them to cl","青蛙",""
70fea05f,sabake,0xa3fef13cde295f0ce3c67ee120706e7e17684444,中,52,35,5,0,12,"CAKE FOR ZOO FRIENDS 🎂 สุขสันต์วันเกิด น้องซาบาเกะ10 🐈 ลูกชายสุดที่รักหม่ามี้ 🩷 https://t.co/4lUc","河马动物园的猫sabake",""
70fea05f,遗憾,0x82a59d36642650314402c72a6a9ba1364b114444,中,52,35,5,0,12,"最近爆火的话题 遗憾 是年少时最后的那局游戏吗 是没有结尾的高中故事吗 是枯坐一天错过的金狗后的不甘吗 人生的遗憾常在 人生没有逆转时间的公式  所以的遗憾都是最好的礼物 https://t.co/z","遗憾是人生最好的礼物",""
70fea05f,生菜,0x664d53426b2d5c84ae8cf8c1ecb991b2fdc14444,中,47,30,5,0,12,"支付宝刚刚发的梗上微博热搜了  生菜 = 生财 链接可查https://t.co/nzYwnDCSb3 顶级谐音梗 🔥🔥🔥 https://t.co/wilDiSzsIQ","生财",""
70fea05f,Yuan,0x36a02d1f411f6410bbef118bb85ca043153d4444,中,43,25,5,0,13,"BREAKING: Iran may allow oil tankers to pass through the Strait of Hormuz if the oil is traded in Ch","Iran may allow oil tankers to pass through Strait of Hormuz if the oil is traded in Chinese Yuan ins",""
70fea05f,元,0x0f1e1e1fd78e0146186a85eae95de6a03fc84444,中,43,25,5,0,13,"BREAKING: Iran may allow oil tankers to pass through the Strait of Hormuz if the oil is traded in Ch","人民币",""
70fea05f,卡穆,0x711585dad366ec83ff683d1fdec029d9131b4444,低,37,20,5,0,12,"สวัสดีวันเสาร์ #hippo #PygmyHippo #ขาหมูแอนด์เดอะแก๊ง #หมูเด้งเด้งกี่โมง #Moodeng #พี่ขาหมู #สวนสัตว","卡穆",""
70fea05f,russian victory,0xa6ea173f846bbbb1f538650ab11adf78b4a04444,低,37,20,5,0,12,"cant believe my gf was right about hermes bags and gold bracelets being a better investment than lit","russian victory",""
70fea05f,monkey business,0xbdc7cbf2b4b1c9d55e8c09a2d04a5f5dc0054444,低,37,20,5,0,12,"Guess you could call it ""monkey business""  https://t.co/L5B48mcHRn","monkey business",""
